

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.wg  15 II 00
/00050 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 760  200  21986.43  4346.86 09 * 192950.0 * * 
 740  200  24118.79  8565.56 09 * 192950.5 * * 
 720  200  21897.21  5040.78 09 * 192951.0 * * 
 700  200  23157.34  6680.96 09 * 192951.5  7  2 
 698  200  23180.02  6697.32 09 * 192952.0 * * 
 695  200  22192.81  4281.96 09 * 192952.5 * * 
 692  200  21983.49  4895.16 09 * 192953.0 * * 
 689  200  23067.19  6287.32 09 * 192953.5 * * 
 686  200  21683.86  4462.40 09 * 192954.0 * * 
 683  200  22985.43  6450.44 09 * 192954.5 * * 
 680  200  21335.74  2855.24 09 * 192955.0 * * 
 677  200  23766.16  8095.40 09 * 192955.5 * * 
 674  200  21941.38  5197.08 09 * 192956.0 * * 
 671  200  24184.86  9999.99 09 * 192956.5 * * 
 668  200  22274.92  6081.12 09 * 192957.0 * * 
 665  200  25170.57  9999.99 09 * 192957.5 * * 
 662  200  24343.29  9999.99 09 * 192958.0 * * 
 659  200  24489.22  9388.70 09 * 192958.5 * * 
 656  200  23944.30  8762.54 09 * 192959.0 * * 
 653  200  24166.50  9151.36 09 * 192959.5 * * 
 650  200  22547.02  4839.52 09 * 193000.0 * * 
 648  200  22791.33  6835.04 09 * 193000.5 * * 
 645  200  22404.91  5001.34 09 * 193001.0 * * 
 642  200  22353.43  4727.60 09 * 193001.5 * * 
 639  200  21554.22  3094.08 09 * 193002.0 * * 
 636  200  22187.24  5472.36 09 * 193002.5 * * 
 633  200  21496.81  3400.68 09 * 193003.0 * * 
 630  200  22158.59  4697.76 09 * 193003.5 * * 
 627  200  19601.01 -0014.22 09 * 193004.0 * * 
 624  200  19956.33  0195.06 09 * 193004.5 * * 
 621  200  19402.63 -0808.14 09 * 193005.0 * * 
 618  200  20139.10  0447.68 09 * 193005.5 * * 
 615  200  19424.54  0276.44 09 * 193006.0 * * 
 612  200  17585.22 -4626.36 09 * 193006.5 * * 
 609  200  20303.47  1035.52 09 * 193007.0 * * 
 606  200  20852.03  1707.04 09 * 193007.5 * * 
 603  200  20047.30  1428.92 09 * 193008.0 * * 
 600  200  20216.96  2945.24 09 * 193008.5  6  2 
 588  200  21093.83  3341.52 09 * 193009.0 * * 
 575  200  21660.60  4312.24 09 * 193009.5 * * 
 563  200  20806.19  2438.34 09 * 193010.0 * * 
 550  200  21474.86  4198.12 09 * 193010.5 * * 
 538  200  20899.36  2085.70 09 * 193011.0 * * 
 525  200  21385.09  3150.74 09 * 193011.5 * * 
 513  200  21819.89  5304.54 09 * 193012.0 * * 
 500  200  22458.96  5056.56 09 * 193012.5  5  2 
 490  200  22278.81  6301.60 09 * 193013.0 * * 
 480  200  24456.91  9913.90 09 * 193013.5 * * 
 470  200  24015.71  9194.58 09 * 193014.0 * * 
 460  200  24730.45  9999.99 09 * 193014.5 * * 
 450  200  22819.10  7161.14 09 * 193015.0 * * 
 440  200  23653.99  7386.92 09 * 193015.5 * * 
 430  200  21683.69  5421.70 09 * 193016.0 * * 
 420  200  21791.22  3627.62 09 * 193016.5 * * 
