
Append with new capture


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   16 VII25
/datum  49000.00
/ 051.7627556   014.3228212 
/UTC


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 02survey.b   22 VII25
/datum  49000.00
/ 051.7740993   014.2785475 
/UTC
/time nT sq 
092602.0  49825.08 99 
092603.0  49825.17 99 
092604.0  49825.08 99 
092605.0  49825.04 99 
092606.0  49824.98 99 
092607.0  49824.87 99 
092608.0  49824.77 99 
092609.0  49824.78 99 
092610.0  49824.82 99 
092611.0  49824.79 99 
092612.0  49824.75 99 
092613.0  49824.66 99 
092614.0  49824.67 99 
092615.0  49824.70 99 
092616.0  49824.72 99 
092617.0  49824.76 99 
092618.0  49824.72 99 
092619.0  49824.68 99 
092620.0  49824.70 99 
092621.0  49824.67 99 
092622.0  49824.65 99 
092623.0  49824.62 99 
092624.0  49824.50 99 
092625.0  49824.45 99 
092626.0  49824.43 99 
092627.0  49824.42 99 
092628.0  49824.53 99 
092629.0  49824.58 99 
092630.0  49824.62 99 
092631.0  49824.75 99 
092632.0  49824.81 99 
092633.0  49824.84 99 
092634.0  49824.83 99 
092635.0  49824.74 99 
092636.0  49824.69 99 
092637.0  49824.62 99 
092638.0  49824.60 99 
092639.0  49824.62 99 
092640.0  49824.61 99 
092641.0  49824.58 99 
092642.0  49824.59 99 
092643.0  49824.67 99 
092644.0  49824.68 99 
092645.0  49824.66 99 
092646.0  49823.97 99 
092647.0  49823.87 99 
092648.0  49824.34 99 
092649.0  49824.31 99 
092650.0  49824.19 99 
092651.0  49824.04 99 
092652.0  49823.90 99 
092653.0  49823.91 99 
092654.0  49823.83 99 
092655.0  49823.88 99 
092656.0  49824.00 99 
092657.0  49824.07 99 
092658.0  49824.17 99 
092659.0  49824.26 99 
092700.0  49824.39 99 
092701.0  49824.49 99 
092702.0  49824.71 99 
092703.0  49824.92 99 
092704.0  49824.94 99 
092705.0  49824.87 99 
092706.0  49824.92 99 
092707.0  49824.92 99 
092708.0  49824.88 99 
092709.0  49824.89 99 
092710.0  49824.93 99 
092711.0  49825.00 99 
092712.0  49825.09 99 
092713.0  49824.98 99 
092714.0  49824.92 99 
092715.0  49824.97 99 
092716.0  49824.98 99 
092717.0  49824.99 99 
092718.0  49824.91 99 
092719.0  49824.87 99 
092720.0  49824.86 99 
092721.0  49824.78 99 
092722.0  49824.77 99 
092723.0  49824.75 99 
092724.0  49824.74 99 
092725.0  49824.79 99 
092726.0  49824.79 99 
092727.0  49824.74 99 
092728.0  49824.72 99 
092729.0  49824.73 99 
092730.0  49824.81 99 
092731.0  49824.83 99 
092732.0  49824.86 99 
092733.0  49824.87 99 
092734.0  49824.87 99 
092735.0  49824.82 99 
092736.0  49824.84 99 
092737.0  49824.86 99 
092738.0  49824.84 99 
092739.0  49824.85 99 
092740.0  49824.76 99 
092741.0  49824.73 99 
092742.0  49824.65 99 
092743.0  49824.49 99 
092744.0  49824.27 99 
092745.0  49824.16 99 
092746.0  49824.13 99 
092747.0  49824.14 99 
092748.0  49824.13 99 
092749.0  49824.15 99 
092750.0  49824.26 99 
092751.0  49824.28 99 
092752.0  49824.37 99 
092753.0  49824.44 99 
092754.0  49824.54 99 
092755.0  49824.58 99 
092756.0  49824.64 99 
092757.0  49824.78 99 
092758.0  49825.01 99 
092759.0  49825.11 99 
092800.0  49825.13 99 
092801.0  49825.13 99 
092802.0  49825.12 99 
092803.0  49825.19 99 
092804.0  49825.29 99 
092805.0  49825.27 99 
092806.0  49825.33 99 
092807.0  49825.31 99 
092808.0  49825.29 99 
092809.0  49825.29 99 
092810.0  49825.30 99 
092811.0  49825.24 99 
092812.0  49825.11 99 
092813.0  49825.05 99 
092814.0  49825.00 99 
092815.0  49824.96 99 
092816.0  49824.95 99 
092817.0  49824.94 99 
092818.0  49824.82 99 
092819.0  49824.74 99 
092820.0  49824.77 99 
092821.0  49824.82 99 
092822.0  49824.88 99 
092823.0  49824.89 99 
092824.0  49824.90 99 
092825.0  49824.90 99 
092826.0  49824.89 99 
092827.0  49824.87 99 
092828.0  49824.82 99 
092829.0  49824.89 99 
092830.0  49825.40 99 
092831.0  49825.16 99 
092832.0  49824.93 99 
092833.0  49824.83 99 
092834.0  49824.78 99 
092835.0  49824.69 99 
092836.0  49824.52 99 
092837.0  49824.27 99 
092838.0  49824.13 99 
092839.0  49824.07 99 
092840.0  49824.21 99 
092841.0  49824.59 99 
092842.0  49824.66 99 
092843.0  49824.76 99 
092844.0  49824.73 99 
092845.0  49824.78 99 
092846.0  49824.82 99 
092847.0  49824.86 99 
092848.0  49824.85 99 
092849.0  49824.85 99 
092850.0  49824.86 99 
092851.0  49824.86 99 
092852.0  49824.83 99 
092853.0  49824.75 99 
092854.0  49824.79 99 
092855.0  49824.75 99 
092856.0  49824.77 99 
092857.0  49824.81 99 
092858.0  49824.89 99 
092859.0  49824.89 99 
092900.0  49824.94 99 
092901.0  49824.93 99 
092902.0  49824.96 99 
092903.0  49824.96 99 
092904.0  49825.01 99 
092905.0  49824.98 99 
092906.0  49824.91 99 
092907.0  49824.88 99 
092908.0  49824.96 99 
092909.0  49824.93 99 
092910.0  49824.87 99 
092911.0  49824.75 99 
092912.0  49824.45 99 
092913.0  49824.30 99 
092914.0  49824.18 99 
092915.0  49824.16 99 
092916.0  49824.20 99 
092917.0  49824.36 99 
092918.0  49824.28 99 
092919.0  49824.23 99 
092920.0  49824.17 99 
092921.0  49824.16 99 
092922.0  49824.16 99 
092923.0  49824.22 99 
092924.0  49824.29 99 
092925.0  49824.38 99 
092926.0  49824.52 99 
092927.0  49824.56 99 
092928.0  49824.55 99 
092929.0  49824.57 99 
092930.0  49824.72 99 
092931.0  49824.85 99 
092932.0  49824.84 99 
092933.0  49824.73 99 
092934.0  49824.67 99 
092935.0  49824.72 99 
092936.0  49824.80 99 
092937.0  49824.78 99 
092938.0  49824.73 99 
092939.0  49824.67 99 
092940.0  49824.69 99 
092941.0  49824.80 99 
092942.0  49824.83 99 
092943.0  49824.78 99 
092944.0  49824.78 99 
092945.0  49824.81 99 
092946.0  49824.83 99 
092947.0  49824.82 99 
092948.0  49824.78 99 
092949.0  49824.74 99 
092950.0  49824.72 99 
092951.0  49824.87 99 
092952.0  49824.76 99 
092953.0  49824.87 99 
092954.0  49824.92 99 
092955.0  49824.90 99 
092956.0  49824.94 99 
092957.0  49824.83 99 
092958.0  49824.80 99 
092959.0  49824.93 99 
093000.0  49825.02 99 
093001.0  49825.03 99 
093002.0  49825.06 99 
093003.0  49824.82 99 
093004.0  49824.77 99 
093005.0  49824.84 99 
093006.0  49824.78 99 
093007.0  49824.92 99 
093008.0  49824.92 99 
093009.0  49824.89 99 
093010.0  49824.84 99 
093011.0  49824.84 99 
093012.0  49824.91 99 
093013.0  49824.86 99 
093014.0  49824.85 99 
093015.0  49824.87 99 
093016.0  49824.83 99 
093017.0  49824.83 99 
093018.0  49824.88 99 
093019.0  49824.89 99 
093020.0  49824.87 99 
093021.0  49824.86 99 
093022.0  49824.89 99 
093023.0  49824.87 99 
093024.0  49824.85 99 
093025.0  49824.85 99 
093026.0  49824.85 99 
093027.0  49824.77 99 
093028.0  49824.70 99 
093029.0  49824.64 99 
093030.0  49824.67 99 
093031.0  49824.61 99 
093032.0  49824.68 99 
093033.0  49824.76 99 
093034.0  49824.85 99 
093035.0  49824.87 99 
093036.0  49824.87 99 
093037.0  49824.81 99 
093038.0  49824.73 99 
093039.0  49824.69 99 
093040.0  49824.73 99 
093041.0  49824.69 99 
093042.0  49824.69 99 
093043.0  49824.72 99 
093044.0  49824.74 99 
093045.0  49824.93 99 
093046.0  49824.98 99 
093047.0  49825.02 99 
093048.0  49824.97 99 
093049.0  49824.95 99 
093050.0  49824.95 99 
093051.0  49824.96 99 
093052.0  49824.94 99 
093053.0  49824.89 99 
093054.0  49824.91 99 
093055.0  49824.93 99 
093056.0  49824.95 99 
093057.0  49824.97 99 
093058.0  49824.97 99 
093059.0  49824.97 99 
093100.0  49824.96 99 
093101.0  49824.95 99 
093102.0  49824.92 99 
093103.0  49824.97 99 
093104.0  49824.95 99 
093105.0  49824.90 99 
093106.0  49824.89 99 
093107.0  49824.88 99 
093108.0  49824.94 99 
093109.0  49824.93 99 
093110.0  49824.92 99 
093111.0  49824.92 99 
093112.0  49824.90 99 
093113.0  49824.85 99 
093114.0  49824.81 99 
093115.0  49824.81 99 
093116.0  49824.94 99 
093117.0  49824.91 99 
093118.0  49824.94 99 
093119.0  49824.90 99 
093120.0  49824.90 99 
093121.0  49824.88 99 
093122.0  49824.89 99 
093123.0  49824.87 99 
093124.0  49824.74 99 
093125.0  49824.64 99 
093126.0  49824.66 99 
093127.0  49824.67 99 
093128.0  49824.75 99 
093129.0  49824.85 99 
093130.0  49824.95 99 
093131.0  49824.96 99 
093132.0  49824.91 99 
093133.0  49824.91 99 
093134.0  49824.93 99 
093135.0  49824.98 99 
093136.0  49825.05 99 
093137.0  49825.01 99 
093138.0  49825.02 99 
093139.0  49825.08 99 
093140.0  49825.00 99 
093141.0  49824.98 99 
093142.0  49824.99 99 
093143.0  49824.99 99 
093144.0  49825.01 99 
093145.0  49825.05 99 
093146.0  49825.07 99 
093147.0  49825.09 99 
093148.0  49825.09 99 
093149.0  49825.16 99 
093150.0  49825.09 99 
093151.0  49824.92 99 
093152.0  49824.84 99 
093153.0  49824.88 99 
093154.0  49824.76 99 
093155.0  49824.76 99 
093156.0  49824.74 99 
093157.0  49824.87 99 
093158.0  49824.86 99 
093159.0  49824.91 99 
093200.0  49824.85 99 
093201.0  49824.70 99 
093202.0  49824.40 99 
093203.0  49824.22 99 
093204.0  49824.15 99 
093205.0  49824.31 99 
093206.0  49824.43 99 
093207.0  49824.44 99 
093208.0  49824.52 99 
093209.0  49824.55 99 
093210.0  49824.58 99 
093211.0  49824.64 99 
093212.0  49824.60 99 
093213.0  49824.61 99 
093214.0  49824.61 99 
093215.0  49824.62 99 
093216.0  49824.61 99 
093217.0  49824.74 99 
093218.0  49824.84 99 
093219.0  49824.92 99 
093220.0  49824.91 99 
093221.0  49824.90 99 
093222.0  49824.95 99 
093223.0  49824.94 99 
093224.0  49825.00 99 
093225.0  49825.10 99 
093226.0  49825.08 99 
093227.0  49825.01 99 
093228.0  49824.93 99 
093229.0  49824.83 99 
093230.0  49824.75 99 
093231.0  49824.68 99 
093232.0  49824.77 99 
093233.0  49824.87 99 
093234.0  49824.85 99 
093235.0  49824.81 99 
093236.0  49824.78 99 
093237.0  49824.81 99 
093238.0  49824.91 99 
093239.0  49824.95 99 
093240.0  49825.03 99 
093241.0  49825.02 99 
093242.0  49825.04 99 
093243.0  49825.04 99 
093244.0  49825.03 99 
093245.0  49825.00 99 
093246.0  49824.94 99 
093247.0  49824.85 99 
093248.0  49824.95 99 
093249.0  49825.04 99 
093250.0  49825.15 99 
093251.0  49825.12 99 
093252.0  49825.14 99 
093253.0  49825.21 99 
093254.0  49825.18 99 
