X,Y,Z,Resistivity,Easting,Northing,Profile
30.5,0.0,-0.094,154.59,464705.21794871794,5754476.561538462,9
31.5,0.0,-0.094,198.74,464705.1923076923,5754475.530769231,9
32.5,0.0,-0.094,171.44,464705.1666666667,5754474.5,9
33.5,0.0,-0.094,190.98,464705.141025641,5754473.469230769,9
34.5,0.0,-0.094,201.51,464705.1153846154,5754472.438461538,9
35.5,0.0,-0.094,189.04,464705.08974358975,5754471.407692308,9
36.5,0.0,-0.094,192.62,464705.0641025641,5754470.376923077,9
37.5,0.0,-0.094,193.18,464705.0384615384,5754469.346153846,9
38.5,0.0,-0.094,193.78,464705.0128205128,5754468.315384615,9
39.5,0.0,-0.094,179.57,464704.9871794872,5754467.284615384,9
40.5,0.0,-0.094,196.5,464704.9615384616,5754466.253846154,9
41.5,0.0,-0.094,186.42,464704.9358974359,5754465.223076923,9
42.5,0.0,-0.094,191.18,464704.9102564103,5754464.192307692,9
43.5,0.0,-0.094,188.19,464704.8846153846,5754463.161538461,9
44.5,0.0,-0.094,180.69,464704.858974359,5754462.13076923,9
45.5,0.0,-0.094,188.51,464704.8333333333,5754461.1,9
46.5,0.0,-0.094,173.96,464704.8076923077,5754460.069230769,9
47.5,0.0,-0.094,176.19,464704.78205128206,5754459.038461538,9
48.5,0.0,-0.094,178.73,464704.7564102565,5754458.007692307,9
49.5,0.0,-0.094,174.05,464704.7307692308,5754456.976923077,9
50.5,0.0,-0.094,165.68,464704.7051282051,5754455.946153847,9
51.5,0.0,-0.094,178.61,464704.6794871795,5754454.915384616,9
52.5,0.0,-0.094,159.06,464704.6538461539,5754453.884615385,9
53.5,0.0,-0.094,153.42,464704.6282051282,5754452.853846154,9
54.5,0.0,-0.094,166.79,464704.60256410256,5754451.823076923,9
55.5,0.0,-0.094,166.91,464704.57692307694,5754450.792307693,9
56.5,0.0,-0.094,162.39,464704.5512820513,5754449.761538462,9
57.5,0.0,-0.094,162.72,464704.5256410256,5754448.730769231,9
58.5,0.0,-0.094,172.66,464704.5,5754447.7,9
59.5,0.0,-0.094,167.09,464704.4743589744,5754446.669230769,9
60.5,0.0,-0.094,166.54,464704.4487179487,5754445.638461539,9
61.5,0.0,-0.094,170.26,464704.4230769231,5754444.607692308,9
62.5,0.0,-0.094,170.68,464704.39743589744,5754443.576923077,9
63.5,0.0,-0.094,170.04,464704.3717948718,5754442.546153846,9
64.5,0.0,-0.094,172.54,464704.3461538461,5754441.515384615,9
65.5,0.0,-0.094,173.56,464704.3205128205,5754440.484615385,9
66.5,0.0,-0.094,174.35,464704.2948717949,5754439.453846154,9
67.5,0.0,-0.094,174.12,464704.2692307693,5754438.423076923,9
68.5,0.0,-0.094,179.14,464704.2435897436,5754437.392307692,9
69.5,0.0,-0.094,178.05,464704.21794871794,5754436.361538461,9
70.5,0.0,-0.094,179.39,464704.1923076923,5754435.330769231,9
71.5,0.0,-0.094,180.69,464704.1666666667,5754434.3,9
72.5,0.0,-0.094,170.73,464704.141025641,5754433.269230769,9
73.5,0.0,-0.094,180.54,464704.1153846154,5754432.238461538,9
74.5,0.0,-0.094,165.27,464704.08974358975,5754431.207692307,9
75.5,0.0,-0.094,166.93,464704.0641025641,5754430.176923077,9
76.5,0.0,-0.094,167.1,464704.0384615384,5754429.146153846,9
77.5,0.0,-0.094,167.74,464704.0128205128,5754428.115384615,9
78.5,0.0,-0.094,171.01,464703.9871794872,5754427.084615384,9
79.5,0.0,-0.094,167.01,464703.9615384616,5754426.053846153,9
80.5,0.0,-0.094,205.99,464703.9358974359,5754425.023076923,9
81.5,0.0,-0.094,161.65,464703.9102564103,5754423.992307693,9
82.5,0.0,-0.094,162.63,464703.8846153846,5754422.961538462,9
83.5,0.0,-0.094,154.62,464703.858974359,5754421.930769231,9
84.5,0.0,-0.094,161.65,464703.8333333333,5754420.9,9
85.5,0.0,-0.094,162.19,464703.8076923077,5754419.86923077,9
86.5,0.0,-0.094,140.97,464703.78205128206,5754418.838461539,9
87.5,0.0,-0.094,142.94,464703.7564102565,5754417.807692308,9
88.5,0.0,-0.094,172.26,464703.7307692308,5754416.776923077,9
89.5,0.0,-0.094,176.19,464703.7051282051,5754415.746153846,9
90.5,0.0,-0.094,153.82,464703.6794871795,5754414.715384616,9
91.5,0.0,-0.094,176.08,464703.6538461539,5754413.684615385,9
92.5,0.0,-0.094,169.6,464703.6282051282,5754412.653846154,9
93.5,0.0,-0.094,169.82,464703.60256410256,5754411.623076923,9
94.5,0.0,-0.094,169.85,464703.57692307694,5754410.592307692,9
95.5,0.0,-0.094,168.82,464703.5512820513,5754409.561538462,9
96.5,0.0,-0.094,180.03,464703.5256410256,5754408.530769231,9
97.5,0.0,-0.094,155.35,464703.5,5754407.5,9
98.5,0.0,-0.094,155.94,464703.4743589744,5754406.469230769,9
99.5,0.0,-0.094,173.72,464703.4487179487,5754405.438461538,9
100.5,0.0,-0.094,151.57,464703.4230769231,5754404.407692308,9
101.5,0.0,-0.094,151.7,464703.39743589744,5754403.376923077,9
102.5,0.0,-0.094,163.94,464703.3717948718,5754402.346153846,9
103.5,0.0,-0.094,164.22,464703.3461538461,5754401.315384615,9
104.5,0.0,-0.094,142.71,464703.3205128205,5754400.284615384,9
105.5,0.0,-0.094,166.45,464703.2948717949,5754399.253846154,9
106.5,0.0,-0.094,166.96,464703.2692307693,5754398.223076923,9
107.5,0.0,-0.094,145.97,464703.2435897436,5754397.192307692,9
108.5,0.0,-0.094,158.87,464703.21794871794,5754396.161538461,9
109.5,0.0,-0.094,158.77,464703.1923076923,5754395.13076923,9
110.5,0.0,-0.094,152.99,464703.1666666667,5754394.1,9
111.5,0.0,-0.094,151.89,464703.141025641,5754393.069230769,9
112.5,0.0,-0.094,160.07,464703.1153846154,5754392.038461538,9
113.5,0.0,-0.094,157.56,464703.08974358975,5754391.007692307,9
114.5,0.0,-0.094,160.52,464703.0641025641,5754389.976923077,9
115.5,0.0,-0.094,165.9,464703.0384615384,5754388.946153847,9
