sondeo,survey,profile_number,order,line_id,point_index,lat,lon,elev_m,TMI_nT,gradient_nT_per_m
1,Survey1,54,1,S1_P54_O1,92,51.7630237,14.3369427,75.0,24859.75,-9999.99
1,Survey1,54,1,S1_P54_O1,93,51.7630264,14.3369411,75.0,24896.66,-9999.99
1,Survey1,54,1,S1_P54_O1,94,51.7630302,14.3369388,75.0,24737.71,-9999.99
1,Survey1,54,1,S1_P54_O1,95,51.7630341,14.3369365,75.0,24786.48,-9999.99
1,Survey1,54,1,S1_P54_O1,96,51.7630383,14.3369351,75.0,24742.16,-9999.99
1,Survey1,54,1,S1_P54_O1,97,51.7630425,14.3369337,76.0,24718.34,-9999.99
1,Survey1,54,1,S1_P54_O1,98,51.7630468,14.3369332,76.0,24606.54,-9999.99
1,Survey1,54,1,S1_P54_O1,99,51.7630511,14.3369328,76.0,24868.34,-9999.99
1,Survey1,54,1,S1_P54_O1,100,51.7630524,14.3369324,76.0,24760.53,-9999.99
1,Survey1,54,1,S1_P54_O1,101,51.7630538,14.3369321,75.0,24829.97,-9999.99
1,Survey1,54,1,S1_P54_O1,102,51.7630576,14.3369312,75.0,24694.4,-9999.99
1,Survey1,54,1,S1_P54_O1,103,51.7630615,14.3369304,75.0,24774.53,-9999.99
1,Survey1,54,1,S1_P54_O1,104,51.7630648,14.3369308,75.0,24765.25,-9999.99
1,Survey1,54,1,S1_P54_O1,105,51.7630681,14.3369313,75.0,24757.89,-9999.99
1,Survey1,54,1,S1_P54_O1,106,51.7630729,14.3369294,75.0,24755.11,-9999.99
1,Survey1,54,1,S1_P54_O1,107,51.7630778,14.3369275,75.0,24750.15,-9999.99
1,Survey1,54,1,S1_P54_O1,108,51.7630842,14.3369253,75.0,24702.95,-9999.99
1,Survey1,54,1,S1_P54_O1,109,51.7630906,14.3369231,75.0,24769.68,-9999.99
1,Survey1,54,1,S1_P54_O1,110,51.7630995,14.3369208,75.0,24764.02,-9999.99
1,Survey1,54,1,S1_P54_O1,111,51.7631085,14.3369186,75.0,24749.46,-9999.99
1,Survey1,54,1,S1_P54_O1,112,51.7631131,14.3369174,75.0,24798.05,-9999.99
1,Survey1,54,1,S1_P54_O1,113,51.7631177,14.3369162,75.0,24761.29,-9999.99
1,Survey1,54,1,S1_P54_O1,114,51.7631218,14.3369151,75.0,24713.98,-9999.99
1,Survey1,54,1,S1_P54_O1,115,51.7631259,14.3369141,75.0,24773.4,-9999.99
1,Survey1,54,1,S1_P54_O1,116,51.7631316,14.3369122,75.0,24753.21,-9999.99
1,Survey1,54,1,S1_P54_O1,117,51.7631373,14.3369104,75.0,24754.01,-9999.99
1,Survey1,54,1,S1_P54_O1,118,51.7631453,14.336908,75.0,24757.97,-9999.99
1,Survey1,54,1,S1_P54_O1,119,51.7631533,14.3369056,76.0,24762.76,-9999.99
1,Survey1,54,1,S1_P54_O1,120,51.7631606,14.3369035,76.0,24743.32,-9999.99
1,Survey1,54,1,S1_P54_O1,121,51.763168,14.3369015,76.0,24772.49,-9999.99
1,Survey1,54,1,S1_P54_O1,122,51.7631742,14.3368997,76.0,24778.76,-9999.99
1,Survey1,54,1,S1_P54_O1,123,51.7631805,14.3368979,76.0,24748.09,-9999.99
1,Survey1,54,1,S1_P54_O1,124,51.7631861,14.3368963,76.0,24761.59,-9999.99
1,Survey1,54,1,S1_P54_O1,125,51.7631918,14.3368948,76.0,24782.43,-9999.99
1,Survey1,54,1,S1_P54_O1,126,51.7631975,14.3368936,76.0,24695.57,-9999.99
1,Survey1,54,1,S1_P54_O1,127,51.7632032,14.3368924,76.0,24807.43,-9999.99
1,Survey1,54,1,S1_P54_O1,128,51.7632058,14.3368928,76.0,24732.87,-9999.99
1,Survey1,54,1,S1_P54_O1,129,51.7632085,14.3368932,76.0,24783.97,-9999.99
1,Survey1,54,1,S1_P54_O1,130,51.7632112,14.3368919,76.0,24756.16,-9999.99
1,Survey1,54,1,S1_P54_O1,131,51.763214,14.3368906,76.0,24769.45,-9999.99
1,Survey1,54,1,S1_P54_O1,132,51.7632151,14.3368888,76.0,24769.31,-9999.99
1,Survey1,54,1,S1_P54_O1,133,51.7632163,14.336887,76.0,24792.46,-9999.99
1,Survey1,54,1,S1_P54_O1,134,51.7632163,14.336887,76.0,24768.51,-9999.99
1,Survey1,54,1,S1_P54_O1,135,51.7632164,14.336887,75.0,24789.33,-9999.99
1,Survey1,54,1,S1_P54_O1,136,51.7632164,14.3368875,75.0,24731.96,-9999.99
1,Survey1,54,1,S1_P54_O1,137,51.7632165,14.3368881,75.0,24796.63,-9999.99
1,Survey1,54,1,S1_P54_O1,138,51.7632161,14.3368876,75.0,24688.02,-9999.99
1,Survey1,54,1,S1_P54_O1,139,51.7632158,14.3368872,75.0,24775.92,-9999.99
1,Survey1,54,1,S1_P54_O1,140,51.7632151,14.3368869,75.0,24764.12,-9999.99
1,Survey1,54,1,S1_P54_O1,141,51.7632145,14.3368866,75.0,24723.84,-9999.99
1,Survey1,54,1,S1_P54_O1,142,51.7632142,14.3368866,75.0,24542.28,-9999.99
1,Survey1,54,1,S1_P54_O1,143,51.7632139,14.3368867,75.0,24710.83,-9999.99
1,Survey1,54,1,S1_P54_O1,144,51.7632139,14.3368867,75.0,24710.83,-9999.99
1,Survey1,55,2,S1_P55_O2,1,51.7632122,14.3368766,74.0,24774.65,-9999.99
1,Survey1,55,2,S1_P55_O2,2,51.7632103,14.3368763,74.0,24738.38,-9999.99
1,Survey1,55,2,S1_P55_O2,3,51.7632084,14.3368761,74.0,24735.43,-9999.99
1,Survey1,55,2,S1_P55_O2,4,51.7632075,14.336877,74.0,24765.18,-9999.99
1,Survey1,55,2,S1_P55_O2,5,51.7632066,14.3368779,74.0,24750.22,-9999.99
1,Survey1,55,2,S1_P55_O2,6,51.7632021,14.3368789,74.0,24798.94,-9999.99
1,Survey1,55,2,S1_P55_O2,7,51.7631977,14.3368799,74.0,24797.44,-9999.99
1,Survey1,55,2,S1_P55_O2,8,51.7631929,14.3368821,74.0,24726.03,-9999.99
1,Survey1,55,2,S1_P55_O2,9,51.7631882,14.3368843,74.0,24763.15,-9999.99
1,Survey1,55,2,S1_P55_O2,10,51.7631832,14.3368849,74.0,24752.64,-9999.99
1,Survey1,55,2,S1_P55_O2,11,51.7631782,14.3368855,74.0,24756.29,-9999.99
1,Survey1,55,2,S1_P55_O2,12,51.7631728,14.336887,74.0,24736.06,-9999.99
1,Survey1,55,2,S1_P55_O2,13,51.7631674,14.3368886,74.0,24796.64,-9999.99
1,Survey1,55,2,S1_P55_O2,14,51.7631616,14.33689,74.0,24782.27,-9999.99
1,Survey1,55,2,S1_P55_O2,15,51.7631559,14.3368915,74.0,24785.4,-9999.99
1,Survey1,55,2,S1_P55_O2,16,51.7631504,14.3368931,74.0,24801.13,-9999.99
1,Survey1,55,2,S1_P55_O2,17,51.763145,14.3368948,74.0,24785.59,-9999.99
1,Survey1,55,2,S1_P55_O2,18,51.7631396,14.3368957,74.0,24688.18,-9999.99
1,Survey1,55,2,S1_P55_O2,19,51.7631342,14.3368967,74.0,24792.04,-9999.99
1,Survey1,55,2,S1_P55_O2,20,51.7631289,14.3368982,74.0,24767.09,-9999.99
1,Survey1,55,2,S1_P55_O2,21,51.7631237,14.3368998,74.0,24643.2,-9999.99
1,Survey1,55,2,S1_P55_O2,22,51.7631184,14.3369013,74.0,24607.01,-9999.99
1,Survey1,55,2,S1_P55_O2,23,51.7631132,14.3369028,74.0,24717.23,-9999.99
1,Survey1,55,2,S1_P55_O2,24,51.7631064,14.3369039,74.0,24613.5,-9999.99
1,Survey1,55,2,S1_P55_O2,25,51.7630997,14.3369051,74.0,24711.24,-9999.99
1,Survey1,55,2,S1_P55_O2,26,51.7630974,14.3369058,74.0,24775.76,-9999.99
1,Survey1,55,2,S1_P55_O2,27,51.7630951,14.3369066,75.0,24786.3,-9999.99
1,Survey1,55,2,S1_P55_O2,28,51.763091,14.3369074,75.0,24771.28,-9999.99
1,Survey1,55,2,S1_P55_O2,29,51.7630869,14.3369083,75.0,24757.6,-9999.99
1,Survey1,55,2,S1_P55_O2,30,51.7630822,14.3369088,75.0,24792.28,-9999.99
1,Survey1,55,2,S1_P55_O2,31,51.7630775,14.3369093,75.0,24767.27,-9999.99
1,Survey1,55,2,S1_P55_O2,32,51.7630727,14.3369106,75.0,24667.91,-9999.99
1,Survey1,55,2,S1_P55_O2,33,51.763068,14.3369119,75.0,24574.49,-9999.99
1,Survey1,55,2,S1_P55_O2,34,51.7630634,14.336911,75.0,24734.92,-9999.99
1,Survey1,55,2,S1_P55_O2,35,51.7630589,14.3369101,76.0,24167.03,-9999.99
1,Survey1,55,2,S1_P55_O2,36,51.7630544,14.3369098,76.0,24586.16,-9999.99
1,Survey1,55,2,S1_P55_O2,37,51.76305,14.3369096,76.0,24455.69,-9999.99
1,Survey1,55,2,S1_P55_O2,38,51.7630439,14.3369127,76.0,24247.71,-9999.99
1,Survey1,55,2,S1_P55_O2,39,51.7630378,14.3369158,76.0,24688.93,-9999.99
1,Survey1,55,2,S1_P55_O2,40,51.7630332,14.3369186,76.0,24726.72,-9999.99
1,Survey1,55,2,S1_P55_O2,41,51.7630286,14.3369214,75.0,24270.63,-9999.99
1,Survey1,55,2,S1_P55_O2,42,51.7630238,14.3369225,75.0,24518.04,-9999.99
1,Survey1,55,2,S1_P55_O2,43,51.7630191,14.3369236,75.0,24195.52,-9999.99
1,Survey1,55,2,S1_P55_O2,44,51.7630173,14.3369242,75.0,24254.01,-9999.99
1,Survey1,55,2,S1_P55_O2,45,51.7630155,14.3369248,75.0,24029.69,-9999.99
1,Survey1,55,2,S1_P55_O2,46,51.7630157,14.3369277,75.0,24654.93,-9999.99
1,Survey1,55,2,S1_P55_O2,47,51.7630159,14.3369307,75.0,23894.54,-9999.99
1,Survey1,55,2,S1_P55_O2,48,51.7630153,14.3369313,75.0,24669.57,-9999.99
1,Survey1,55,2,S1_P55_O2,49,51.7630148,14.336932,75.0,23935.68,-9999.99
1,Survey1,55,2,S1_P55_O2,50,51.7630121,14.3369304,75.0,24671.61,-9999.99
1,Survey1,55,2,S1_P55_O2,51,51.7630094,14.3369288,74.0,25026.02,-9999.99
1,Survey1,55,2,S1_P55_O2,52,51.7630083,14.3369285,74.0,24867.46,-9999.99
1,Survey1,55,2,S1_P55_O2,53,51.7630072,14.3369283,74.0,24345.03,-9999.99
1,Survey1,55,2,S1_P55_O2,54,51.7630067,14.3369275,74.0,24584.31,-9999.99
1,Survey1,55,2,S1_P55_O2,55,51.7630062,14.3369268,74.0,23977.29,-9999.99
1,Survey1,55,2,S1_P55_O2,56,51.7630063,14.3369269,74.0,24485.31,-9999.99
1,Survey1,55,2,S1_P55_O2,57,51.7630065,14.3369271,74.0,24987.93,-9999.99
1,Survey1,55,2,S1_P55_O2,58,51.7630065,14.3369273,74.0,24496.87,-9999.99
1,Survey1,55,2,S1_P55_O2,59,51.7630066,14.3369276,74.0,24561.91,-9999.99
1,Survey1,55,2,S1_P55_O2,60,51.7630066,14.3369276,74.0,24561.91,-9999.99
1,Survey1,55,3,S1_P55_O3,1,51.7630123,14.3368908,72.0,23706.51,-9999.99
1,Survey1,55,3,S1_P55_O3,2,51.7630154,14.3368887,72.0,24426.67,-9999.99
1,Survey1,55,3,S1_P55_O3,3,51.7630186,14.3368866,72.0,22870.51,-9999.99
1,Survey1,55,3,S1_P55_O3,4,51.7630241,14.3368864,72.0,24290.83,-9999.99
1,Survey1,55,3,S1_P55_O3,5,51.7630296,14.3368862,72.0,22486.29,-9999.99
1,Survey1,55,3,S1_P55_O3,6,51.7630351,14.3368849,72.0,24344.81,-9999.99
1,Survey1,55,3,S1_P55_O3,7,51.7630407,14.3368837,72.0,21589.4,-9999.99
1,Survey1,55,3,S1_P55_O3,8,51.7630443,14.3368833,72.0,24189.61,-9999.99
1,Survey1,55,3,S1_P55_O3,9,51.7630479,14.336883,71.0,19181.51,-9999.99
1,Survey1,55,3,S1_P55_O3,10,51.763054,14.336881,71.0,24177.81,-9999.99
1,Survey1,55,3,S1_P55_O3,11,51.7630601,14.336879,72.0,17931.45,-9999.99
1,Survey1,55,3,S1_P55_O3,12,51.7630689,14.336877,72.0,24902.03,-9999.99
1,Survey1,55,3,S1_P55_O3,13,51.7630777,14.336875,72.0,17723.09,-9999.99
1,Survey1,55,3,S1_P55_O3,14,51.763086,14.3368725,72.0,24174.65,-9999.99
1,Survey1,55,3,S1_P55_O3,15,51.7630943,14.33687,73.0,17661.67,-9999.99
1,Survey1,55,3,S1_P55_O3,16,51.7630962,14.3368707,73.0,24549.53,-9999.99
1,Survey1,55,3,S1_P55_O3,17,51.7630981,14.3368715,72.0,17763.74,-9999.99
1,Survey1,55,3,S1_P55_O3,18,51.7631038,14.3368705,72.0,24708.07,-9999.99
1,Survey1,55,3,S1_P55_O3,19,51.7631096,14.3368696,72.0,17956.43,-9999.99
